LQFP48,LQFP64,TFBGA64,VFQFPN36,Pin Name,FUNC,ALT FUNC 1,ALT FUNC 2,ALT FUNC 3,ALT FUNC 4,REMAP 1,REMAP 2,REMAP 3,,
1,1,B2,-,VBAT,VBAT,,,,,,,,,
2,2,A2,-,PC13-TAMPER-RTC,PC13,TAMPER-RTC,,,,,,,,
3,3,A1,-,PC14-OSC32_IN,PC14,OSC32_IN,,,,,,,,
4,4,B1,-,PC15-OSC32_OUT,PC15,OSC32_OUT,,,,,,,,
5,5,C1,2,OSC_IN,OSC_IN,,,,,,,,,
6,6,D1,3,OSC_OUT,OSC_OUT,,,,,,,,,
7,7,E1,4,NRST,NRST,,,,,,,,,
-,8,E3,-,PC0,PC0,,,ADC12_IN10,,,,,,
-,9,E2,-,PC1,PC1,,,ADC12_IN11,,,,,,
-,10,F2,-,PC2,PC2,,,ADC12_IN12,,,,,,
-,11,-,-,PC3,PC3,,,ADC12_IN13,,,,,,
-,,G1,-,VREF+,VREF+,,,,,,,,,
8,12,F1,5,VSSA,VSSA,,,,,,,,,
9,13,H1,6,VDDA,VDDA,,,,,,,,,
10,14,G2,7,PA0-WKUP,PA0,WKUP,USART2_CTS,ADC12_IN0,TIM2_CH1_ETR,,,,,
11,15,H2,8,PA1,PA1,,USART2_RTS,ADC12_IN1,TIM2_CH2,,,,,
12,16,F3,9,PA2,PA2,,USART2_TX,ADC12_IN2,TIM2_CH3,,,,,
13,17,G3,10,PA3,PA3,,USART2_RX,ADC12_IN3,TIM2_CH4,,,,,
-,18,C2,-,VSS_4,VSS_4,,,,,,,,,
-,19,D2,-,VDD_4,VDD_4,,,,,,,,,
14,20,H3,11,PA4,PA4,SPI1_NSS,USART2_CK,ADC12_IN4,,,,,,
15,21,F4,12,PA5,PA5,SPI1_SCK,,ADC12_IN5,,,,,,
16,22,G4,13,PA6,PA6,SPI1_MISO,,ADC12_IN6,TIM3_CH1,TIM1_BKIN,,,,
17,23,H4,14,PA7,PA7,SPI1_MOSI,,ADC12_IN7,TIM3_CH2,TIM1_CH1N,,,,
-,24,H5,,PC4,PC4,,,ADC12_IN14,,,,,,
-,25,H6,,PC5,PC5,,,ADC12_IN15,,,,,,
